trade_id, customer_id, trade_date, ticker, trade_type, quantity, price
1001, C123, 2023-08-01, AAPL, BUY, 100, 150
1002, C124, 2023-05-02, TSL, SELL, 300, 21
1003, C125, 2023-03-12, GOOGL, BUY, 390, 3252
1004, C124, 2023-05-02, GOOGL, SELL, 718, 7585
1005, C126, 2022-12-21, TSL, SELL, 1234, 2700
1006, C123, 2022-01-07, GOOGL, BUY, 889, 2235
1007, C124, 2023-09-06, DSNY, BUY, 110, 124
1008, C126, 2023-10-02, GOOGL, BUY, 120841, 1
1009, C127, 2023-03-03, DSNY, SELL, 21, 65464
1010, C127, 2023-02-02, TSL, SELL, 444444, 23444
1011, C125, 2023-01-04, GOOGL, BUY, 1234532, 4545
1012, C125, 2021-08-29, META, BUY, 909090, 234
1013, C127, 2023-03-03, GOOGL, SELL, 1, 2700
1014, C124, 2023-05-02, GOOGL, SELL, 12, 986
1015, C127, 2023-05-02, META, SELL, 91, 5387
1016, C128, 2023-02-12, GOOGL, BUY, 5454, 54
1017, C127, 2023-03-03, META, BUY, 77, 3452
1018, C129, 2023-04-26, DSNY, BUY, 10, 234
1019, C129, 2023-01-28, DSNY, SELL, 2, 656